"ID_Hogar","P9","line","P10","P12","P14","P1","P50","P68","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101","Estacion","Edad"
439680686,55,2,1,5,15,1,99,1,1,1,2,1,1,3,1,1,3,1,27,7
439680681,37,2,1,5,15,1,99,1,2,2,2,2,2,3,2,1,1,1,27,5
439680674,57,2,2,4,15,1,7,1,1,1,2,1,1,2,2,2,2,1,27,7
439674935,27,2,2,9,11,2,5,2,1,1,3,1,1,3,3,1,3,1,29,4
439669426,60,2,2,97,8,2,7,1,2,2,2,2,2,2,3,2,2,2,28,7
439669176,63,2,2,7,NA,1,1,1,1,1,3,1,2,1,3,3,1,3,28,7
439669101,64,2,1,4,NA,1,5,1,1,1,3,1,1,2,2,1,1,1,28,7
439669019,47,2,1,9,15,2,6,1,1,1,3,2,2,1,3,3,1,1,28,6
439666111,30,2,2,10,NA,2,4,1,2,2,2,2,1,1,1,2,2,1,29,4
439662387,27,2,1,4,15,2,3,1,2,2,2,2,1,1,1,2,2,2,29,4
439662376,70,2,1,7,15,1,2,1,2,3,1,1,2,1,3,3,2,1,29,8
439662359,50,2,1,7,15,2,3,1,2,1,2,1,1,1,1,1,3,1,29,6
439662126,36,2,1,7,11,1,4,1,2,1,3,1,1,1,1,1,2,1,29,5
439661994,50,2,2,3,15,2,2,1,2,1,1,1,1,1,2,1,3,1,29,6
439661825,34,2,1,7,11,1,4,1,2,2,2,2,1,1,1,2,2,1,29,4
439661231,45,2,1,7,11,2,3,1,2,1,2,2,1,2,1,2,2,1,29,6
439643472,38,1,2,11,15,2,9,1,1,1,1,1,1,1,1,1,1,1,16,5
439643427,18,1,1,4,11,2,3,1,2,2,1,1,1,1,1,1,1,2,16,3
439643341,51,1,1,8,NA,2,7,1,1,1,1,1,1,1,2,2,1,1,16,6
439643172,45,1,2,8,15,2,6,1,1,1,1,1,2,3,3,3,3,1,16,6
439636398,78,1,1,11,NA,1,1,1,2,1,2,2,2,1,3,3,2,1,16,8
439633723,79,1,2,4,NA,3,4,1,2,1,3,1,1,1,1,2,2,1,114,8
439633692,64,1,2,11,NA,2,7,2,2,1,3,3,3,2,2,2,2,2,114,7
439633023,30,2,2,8,15,1,4,1,2,1,1,1,1,2,2,1,1,1,29,4
439626960,29,2,2,9,15,1,5,1,2,1,1,1,1,2,2,1,3,1,29,4
439605766,50,1,1,7,NA,1,2,1,2,1,2,1,1,3,1,1,2,3,16,6
439550268,38,2,1,3,13,1,7,1,2,1,2,2,2,1,3,2,2,2,210,5
439550226,52,2,1,9,NA,1,7,1,1,1,2,2,1,3,3,2,1,1,210,6
439550178,50,2,2,11,12,1,5,2,1,2,1,1,1,1,2,1,3,1,210,6
439550132,52,2,1,5,11,1,5,1,1,2,2,2,1,3,1,1,2,1,210,6
439546953,27,1,1,10,NA,3,2,1,2,2,2,2,1,1,2,2,2,2,114,4
439546739,78,1,1,13,NA,2,11,1,1,1,1,2,1,1,1,3,1,1,114,8
439252466,45,2,1,10,15,1,99,1,2,2,2,2,2,2,3,2,2,2,26,6
439252459,74,2,2,4,NA,2,9,1,1,1,3,1,1,2,2,1,3,2,26,8
439252454,56,2,2,9,NA,1,3,2,2,1,1,1,1,3,1,1,2,3,26,7
439252448,33,2,1,9,15,2,6,1,2,1,2,1,1,1,3,3,3,2,26,4
439251907,36,1,1,13,12,2,8,1,1,1,2,1,1,2,3,1,2,1,114,5
439243387,62,1,2,11,13,2,10,2,2,2,3,1,1,2,2,1,3,3,114,7
439243017,25,1,1,11,15,1,4,1,2,1,3,1,1,2,3,1,3,1,116,4
439243005,38,1,1,4,11,1,3,2,2,1,2,2,2,2,2,1,3,2,116,5
439242994,33,2,2,13,13,2,6,1,2,1,2,2,1,1,3,1,2,2,21,4
439242987,80,2,2,11,14,1,99,1,1,3,2,2,2,1,3,2,1,3,21,8
439242982,44,1,1,5,11,1,4,1,2,1,2,1,1,1,1,1,1,1,116,5
439242959,84,1,1,2,NA,1,99,1,1,1,1,1,1,3,3,3,1,1,116,8
439242946,28,1,1,11,11,1,6,1,2,2,2,2,1,1,3,2,2,1,116,4
439237391,28,1,1,10,15,2,99,1,1,2,1,2,1,2,2,2,3,2,111,4
439237367,30,1,2,5,11,2,99,1,2,1,2,1,1,1,3,1,3,2,112,4
439237354,40,1,2,5,11,2,99,1,1,1,2,1,1,1,3,3,1,1,112,5
439237321,22,1,2,5,15,1,99,1,2,2,2,2,1,3,3,2,2,2,111,3
439237304,59,1,1,5,15,1,99,1,1,2,2,1,2,2,3,2,2,2,111,7
439237291,53,1,1,10,15,2,99,1,1,2,1,2,2,1,3,3,3,1,111,6
439237272,56,1,2,5,NA,1,99,1,1,2,2,2,2,2,2,2,3,2,111,7
439237186,29,2,1,13,11,1,7,2,2,2,2,2,1,1,3,1,3,1,29,4
439234816,40,2,1,9,11,2,7,1,2,1,1,1,1,1,3,1,2,1,21,5
439234686,92,2,2,8,NA,2,9,2,1,1,3,1,2,1,2,1,2,1,21,8
439234492,34,1,1,9,15,1,5,1,2,1,3,1,2,2,1,1,3,1,116,4
439234427,49,1,1,11,15,1,99,1,2,1,1,1,1,2,2,1,3,1,116,6
439234376,60,1,1,11,12,1,8,1,1,1,1,1,1,2,3,1,2,1,116,7
439230535,48,2,2,5,11,1,4,1,2,2,2,1,3,3,1,3,2,2,29,6
439230143,44,1,2,5,NA,1,8,1,1,1,1,2,1,2,3,1,3,1,116,5
439230135,64,2,2,2,11,2,4,1,2,1,2,1,1,2,3,2,2,1,21,7
439230087,50,2,1,9,15,1,6,2,1,1,1,2,2,3,3,1,1,1,21,6
439230066,70,2,1,5,15,89,8,1,1,1,1,2,2,2,3,3,2,1,21,8
439230028,35,2,1,9,11,2,8,1,2,1,2,2,1,1,2,1,3,1,21,5
439230009,56,2,1,11,11,1,7,1,1,3,2,1,1,1,2,1,3,1,21,7
439229967,80,2,1,4,15,1,4,1,1,1,3,1,1,1,1,2,1,1,21,8
439229934,55,2,2,97,15,89,4,1,2,2,1,1,1,1,3,2,1,1,21,7
439228878,45,1,1,7,14,1,99,1,2,2,2,2,2,2,2,2,2,2,112,6
439228858,64,1,1,8,14,2,5,1,2,1,3,3,3,1,3,2,2,1,112,7
439228849,51,1,1,7,15,1,99,1,2,1,2,1,2,1,3,2,2,2,112,6
439228821,52,1,1,8,15,1,99,1,1,1,2,1,1,1,2,2,2,2,112,6
439228797,63,1,1,7,14,3,99,1,2,1,1,1,2,1,1,1,1,2,112,7
439228784,28,1,2,7,11,4,3,1,2,2,1,1,1,2,1,2,3,1,111,4
439228760,78,1,2,7,15,2,99,1,1,1,2,2,2,2,2,2,2,2,111,8
439228740,42,1,1,7,11,2,99,1,1,1,1,1,2,2,1,2,3,1,111,5
439228733,64,1,1,8,15,2,99,1,1,1,2,2,2,1,2,2,2,2,112,7
439228723,60,1,1,7,11,1,99,1,1,2,2,2,2,2,2,2,2,2,111,7
439226505,45,2,1,2,11,2,4,1,2,2,2,2,2,2,3,3,2,2,29,6
439221658,67,1,2,3,NA,1,8,1,1,2,2,1,1,2,1,1,2,2,12,8
439221599,54,1,1,5,6,1,4,2,2,1,3,1,2,3,1,1,2,1,12,6
439221541,44,1,1,9,10,1,3,1,2,1,1,1,2,2,2,3,3,3,12,5
439221326,57,1,1,4,15,1,99,1,2,1,3,1,1,2,1,1,1,1,12,7
439221266,77,1,2,4,NA,1,6,1,1,1,1,1,1,1,1,2,2,1,12,8
439215695,38,2,1,5,11,1,99,1,2,1,1,1,1,1,3,2,2,2,29,5
439212769,64,1,2,13,NA,2,7,1,1,1,2,1,2,1,3,1,2,1,12,7
439212757,40,1,1,2,14,1,4,1,2,2,3,1,2,1,3,1,2,2,12,5
439212734,52,1,1,97,11,1,5,1,2,2,2,2,2,1,1,3,1,2,12,6
439212690,72,1,2,7,NA,1,6,1,1,1,3,1,1,1,3,1,3,1,12,8
439212672,63,1,1,3,14,1,1,1,1,2,3,1,3,2,3,1,3,1,12,7
