"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"162",438589757,74,8,1,3,15,1,2,1,1,1,1,1,1,3,1,2,1
"163",438595721,40,5,2,9,8,1,3,1,1,2,2,1,3,3,1,2,1
"164",438597719,41,5,1,13,11,1,7,2,1,3,1,1,1,3,1,2,1
"165",438842529,59,7,1,5,14,1,4,2,1,1,1,1,3,3,2,1,1
"166",438850963,40,5,1,7,11,2,99,1,1,2,2,1,1,2,1,2,2
"167",439680787,57,7,1,11,15,1,6,1,1,1,2,1,1,3,2,1,1
"168",437908757,43,5,1,10,14,2,7,2,2,2,1,1,1,1,3,1,1
"169",437956735,32,4,2,7,14,2,3,2,3,2,2,2,1,3,2,2,1
"170",438342669,44,5,1,11,13,1,8,2,1,2,1,1,1,3,1,1,1
"171",438589564,76,8,1,4,NA,1,6,1,2,1,1,1,1,3,3,1,1
"172",439234686,92,8,2,8,NA,2,9,1,1,3,1,2,1,2,1,2,1
"173",439237354,40,5,2,5,11,2,99,1,1,2,1,1,1,3,3,1,1
"174",439669101,64,7,1,4,NA,1,5,1,1,3,1,1,2,2,1,1,1
"175",437956773,50,6,2,5,12,1,5,1,1,2,1,1,2,2,1,2,1
"176",440523447,42,5,1,7,15,1,3,2,2,2,2,1,2,3,3,2,1
"177",437981030,65,8,1,4,14,2,2,2,1,1,1,1,3,3,3,2,1
"178",437981251,45,6,2,3,15,1,6,2,1,1,3,3,3,3,1,1,1
"179",437982698,62,7,1,5,15,1,6,1,1,2,1,1,3,3,3,1,1
"180",438341425,63,7,1,13,15,2,5,2,2,3,1,1,2,2,1,1,2
"181",438342781,50,6,2,7,15,1,99,1,1,2,1,1,2,3,3,2,1
"182",438359236,33,4,2,11,13,1,7,1,1,3,1,2,2,3,1,3,3
"183",438589578,60,7,1,9,15,1,8,1,1,2,1,2,3,2,1,3,1
"184",438589674,25,4,1,9,11,1,3,2,1,1,1,1,1,2,1,1,1
"185",438597174,65,8,2,5,NA,1,7,1,2,3,2,2,1,3,1,1,1
"186",438597724,58,7,1,97,13,1,2,1,1,1,1,1,1,2,2,1,1
"187",438850846,32,4,1,8,11,1,3,1,1,3,1,1,1,3,3,2,2
"188",438853032,32,4,1,11,15,2,99,1,2,3,2,2,3,2,1,3,3
"189",439662387,27,4,1,4,15,2,3,2,2,2,2,1,1,1,2,2,2
"190",440142542,47,6,1,5,6,2,3,2,2,3,2,2,2,2,3,3,2
"191",440537189,58,7,2,11,15,1,5,1,1,3,2,1,1,3,1,3,2
"192",443462682,40,5,2,11,15,1,99,2,2,2,2,1,1,3,2,1,2
"193",438585936,27,4,1,8,15,1,5,2,2,2,2,2,1,3,1,1,2
"194",438851735,62,7,1,7,11,2,99,2,1,3,1,3,3,1,1,3,3
"195",439142073,70,8,1,5,14,1,4,1,2,2,2,2,2,2,2,2,2
"196",440139510,52,6,2,7,15,1,2,2,2,2,2,2,1,2,2,3,2
"197",437926139,43,5,1,11,13,1,3,2,1,2,1,1,1,3,3,2,1
"198",437970399,35,5,1,9,9,1,6,2,1,3,2,2,1,3,1,1,1
"199",438298811,65,8,2,5,11,1,99,1,1,1,2,1,1,3,2,2,2
"200",438341448,84,8,2,3,15,1,7,2,1,2,1,3,3,3,1,2,1
"201",438341490,75,8,1,11,13,1,7,1,1,2,1,1,1,2,2,2,2
"202",438342730,56,7,1,2,14,1,99,2,1,2,1,3,1,3,3,2,2
"203",438357115,77,8,1,4,NA,1,3,1,1,1,1,1,2,2,1,2,2
"204",438590335,40,5,2,9,15,1,6,2,2,2,1,1,2,2,1,1,2
"205",438596965,40,5,2,5,11,1,99,2,1,1,1,1,1,3,3,3,1
"206",438747386,54,6,1,5,15,2,99,1,1,1,1,1,1,3,3,3,1
"207",438829076,75,8,2,3,NA,2,99,1,2,1,1,1,1,3,1,1,1
"208",438829109,82,8,2,3,NA,1,6,1,2,3,1,3,2,3,1,3,3
